#Top: saturn_top_wrapper   Floorplan: rtl_1   Part: xc7a200tfbg676-2
#Generated by: laure   on: Fri Dec 13 10:20:12 2024
#Build: Vivado v2023.1   by: xbuild   on: Sun May  7 15:05:29 MDT 2023
#Package Version: FINAL 2012-06-20
#Package Pin Delay Version: FINAL VERS. 2.0 2012-06-20

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
216,B13,IPAD_X1Y55,MGTPRXP2_216,97.323,98.301,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxp[1],IN,,,,,,,,,,,,,,,,
216,D12,IPAD_X1Y61,MGTPRXP3_216,68.114,68.798,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_rxp[0],IN,,,,,,,,,,,,,,,,
216,B7,OPAD_X0Y9,MGTPTXP0_216,130.345,131.655,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txp[3],OUT,,,,12,,,,,,,,,,,,
216,D8,OPAD_X0Y11,MGTPTXP1_216,105.480,106.540,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txp[2],OUT,,,,12,,,,,,,,,,,,
216,B9,OPAD_X0Y13,MGTPTXP2_216,105.000,106.056,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txp[1],OUT,,,,12,,,,,,,,,,,,
216,D10,OPAD_X0Y15,MGTPTXP3_216,80.704,81.516,,pcie_7x_mgt_rtl_0_25846,pcie_7x_mgt_rtl_0_txp[0],OUT,,,,12,,,,,,,,,,,,
216,F11,IPAD_X1Y44,MGTREFCLK0P_216,87.302,88.180,,pcie_diff_clock_rtl_25846,pcie_diff_clock_rtl_clk_p[0],IN,P,pcie_diff_clock_rtl_clk_n[0],,,,,,,,,,,,,,
216,E11,IPAD_X1Y45,MGTREFCLK0N_216,87.449,88.327,,pcie_diff_clock_rtl_25846,pcie_diff_clock_rtl_clk_n[0],IN,N,pcie_diff_clock_rtl_clk_p[0],,,,,,,,,,,,,,
35,A5,IOB_X1Y169,IO_L15N_T2_DQS_35,130.044,131.350,,RST.PCIE_RESET_N_25846,pcie_reset_n,IN,,,LVCMOS33,,,,,,,,,,,,,
15,J26,IOB_X0Y151,IO_L24N_T3_RS0_15,101.563,102.583,,ACLK_15678,ref_in_10,IN,,,LVCMOS33,,,,,,,,,,,,,
14,L25,IOB_X0Y131,IO_L9N_T1_DQS_D13_14,89.153,90.049,,,ADC1_In_N[15],IN,N,ADC1_In_P[15],LVDS_25,,,,,,,,,,,,,
15,J20,IOB_X0Y181,IO_L9N_T1_DQS_AD3N_15,61.010,61.623,,,ADC1_In_N[14],IN,N,ADC1_In_P[14],LVDS_25,,,,,,,,,,,,,
14,M25,IOB_X0Y129,IO_L10N_T1_D15_14,94.673,95.625,,,ADC1_In_N[13],IN,N,ADC1_In_P[13],LVDS_25,,,,,,,,,,,,,
14,L23,IOB_X0Y127,IO_L11N_T1_SRCC_14,75.788,76.550,,,ADC1_In_N[12],IN,N,ADC1_In_P[12],LVDS_25,,,,,,,,,,,,,
14,K26,IOB_X0Y135,IO_L7N_T1_D10_14,104.639,105.691,,,ADC1_In_N[11],IN,N,ADC1_In_P[11],LVDS_25,,,,,,,,,,,,,
15,K23,IOB_X0Y163,IO_L18N_T2_A23_15,73.141,73.876,,,ADC1_In_N[10],IN,N,ADC1_In_P[10],LVDS_25,,,,,,,,,,,,,
15,J21,IOB_X0Y175,IO_L12N_T1_MRCC_15,60.026,60.629,,,ADC1_In_N[9],IN,N,ADC1_In_P[9],LVDS_25,,,,,,,,,,,,,
15,H24,IOB_X0Y167,IO_L16N_T2_A27_15,90.977,91.891,,,ADC1_In_N[8],IN,N,ADC1_In_P[8],LVDS_25,,,,,,,,,,,,,
15,F24,IOB_X0Y161,IO_L19N_T3_A21_VREF_15,100.530,101.540,,,ADC1_In_N[7],IN,N,ADC1_In_P[7],LVDS_25,,,,,,,,,,,,,
15,H19,IOB_X0Y185,IO_L7N_T1_AD2N_15,52.058,52.581,,,ADC1_In_N[6],IN,N,ADC1_In_P[6],LVDS_25,,,,,,,,,,,,,
15,F25,IOB_X0Y153,IO_L23N_T3_FWE_B_15,105.357,106.415,,,ADC1_In_N[5],IN,N,ADC1_In_P[5],LVDS_25,,,,,,,,,,,,,
15,F22,IOB_X0Y169,IO_L15N_T2_DQS_ADV_B_15,88.924,89.818,,,ADC1_In_N[4],IN,N,ADC1_In_P[4],LVDS_25,,,,,,,,,,,,,
15,D25,IOB_X0Y159,IO_L20N_T3_A19_15,129.730,131.034,,,ADC1_In_N[3],IN,N,ADC1_In_P[3],LVDS_25,,,,,,,,,,,,,
15,G21,IOB_X0Y177,IO_L11N_T1_SRCC_15,77.667,78.448,,,ADC1_In_N[2],IN,N,ADC1_In_P[2],LVDS_25,,,,,,,,,,,,,
15,E23,IOB_X0Y165,IO_L17N_T2_A25_15,101.355,102.373,,,ADC1_In_N[1],IN,N,ADC1_In_P[1],LVDS_25,,,,,,,,,,,,,
15,D26,IOB_X0Y157,IO_L21N_T3_DQS_A18_15,124.998,126.254,,,ADC1_In_N[0],IN,N,ADC1_In_P[0],LVDS_25,,,,,,,,,,,,,
14,L24,IOB_X0Y132,IO_L9P_T1_DQS_14,85.101,85.957,,,ADC1_In_P[15],IN,P,ADC1_In_N[15],LVDS_25,,,,,,,,,,,,,
15,K20,IOB_X0Y182,IO_L9P_T1_DQS_AD3P_15,56.569,57.138,,,ADC1_In_P[14],IN,P,ADC1_In_N[14],LVDS_25,,,,,,,,,,,,,
14,M24,IOB_X0Y130,IO_L10P_T1_D14_14,84.612,85.462,,,ADC1_In_P[13],IN,P,ADC1_In_N[13],LVDS_25,,,,,,,,,,,,,
14,L22,IOB_X0Y128,IO_L11P_T1_SRCC_14,71.157,71.872,,,ADC1_In_P[12],IN,P,ADC1_In_N[12],LVDS_25,,,,,,,,,,,,,
14,K25,IOB_X0Y136,IO_L7P_T1_D09_14,91.451,92.370,,,ADC1_In_P[11],IN,P,ADC1_In_N[11],LVDS_25,,,,,,,,,,,,,
15,K22,IOB_X0Y164,IO_L18P_T2_A24_15,68.523,69.212,,,ADC1_In_P[10],IN,P,ADC1_In_N[10],LVDS_25,,,,,,,,,,,,,
15,K21,IOB_X0Y176,IO_L12P_T1_MRCC_15,58.426,59.014,,,ADC1_In_P[9],IN,P,ADC1_In_N[9],LVDS_25,,,,,,,,,,,,,
15,J24,IOB_X0Y168,IO_L16P_T2_A28_15,85.360,86.218,,,ADC1_In_P[8],IN,P,ADC1_In_N[8],LVDS_25,,,,,,,,,,,,,
15,G24,IOB_X0Y162,IO_L19P_T3_A22_15,101.008,102.024,,,ADC1_In_P[7],IN,P,ADC1_In_N[7],LVDS_25,,,,,,,,,,,,,
15,J19,IOB_X0Y186,IO_L7P_T1_AD2P_15,51.433,51.949,,,ADC1_In_P[6],IN,P,ADC1_In_N[6],LVDS_25,,,,,,,,,,,,,
15,G25,IOB_X0Y154,IO_L23P_T3_FOE_B_15,105.846,106.910,,,ADC1_In_P[5],IN,P,ADC1_In_N[5],LVDS_25,,,,,,,,,,,,,
15,G22,IOB_X0Y170,IO_L15P_T2_DQS_15,85.549,86.409,,,ADC1_In_P[4],IN,P,ADC1_In_N[4],LVDS_25,,,,,,,,,,,,,
15,E25,IOB_X0Y160,IO_L20P_T3_A20_15,125.742,127.006,,,ADC1_In_P[3],IN,P,ADC1_In_N[3],LVDS_25,,,,,,,,,,,,,
15,G20,IOB_X0Y178,IO_L11P_T1_SRCC_15,75.376,76.133,,,ADC1_In_P[2],IN,P,ADC1_In_N[2],LVDS_25,,,,,,,,,,,,,
15,F23,IOB_X0Y166,IO_L17P_T2_A26_15,97.938,98.922,,,ADC1_In_P[1],IN,P,ADC1_In_N[1],LVDS_25,,,,,,,,,,,,,
15,E26,IOB_X0Y158,IO_L21P_T3_DQS_15,126.615,127.887,,,ADC1_In_P[0],IN,P,ADC1_In_N[0],LVDS_25,,,,,,,,,,,,,
14,R21,IOB_X0Y113,IO_L18N_T2_A11_D27_14,58.350,58.936,,,ADC2_In_N[15],IN,N,ADC2_In_P[15],LVDS_25,,,,,,,,,,,,,
15,J16,IOB_X0Y197,IO_L1N_T0_AD0N_15,50.357,50.863,,,ADC2_In_N[14],IN,N,ADC2_In_P[14],LVDS_25,,,,,,,,,,,,,
14,R17,IOB_X0Y139,IO_L5N_T0_D07_14,51.729,52.249,,,ADC2_In_N[13],IN,N,ADC2_In_P[13],LVDS_25,,,,,,,,,,,,,
14,M26,IOB_X0Y109,IO_L20N_T3_A07_D23_14,104.278,105.326,,,ADC2_In_N[12],IN,N,ADC2_In_P[12],LVDS_25,,,,,,,,,,,,,
15,K17,IOB_X0Y193,IO_L3N_T0_DQS_AD1N_15,50.061,50.564,,,ADC2_In_N[11],IN,N,ADC2_In_P[11],LVDS_25,,,,,,,,,,,,,
14,R22,IOB_X0Y103,IO_L23N_T3_A02_D18_14,76.273,77.040,,,ADC2_In_N[10],IN,N,ADC2_In_P[10],LVDS_25,,,,,,,,,,,,,
15,L18,IOB_X0Y183,IO_L8N_T1_AD10N_15,45.899,46.360,,,ADC2_In_N[9],IN,N,ADC2_In_P[9],LVDS_25,,,,,,,,,,,,,
14,T25,IOB_X0Y107,IO_L21N_T3_DQS_A06_D22_14,87.281,88.158,,,ADC2_In_N[8],IN,N,ADC2_In_P[8],LVDS_25,,,,,,,,,,,,,
14,R23,IOB_X0Y101,IO_L24N_T3_A00_D16_14,74.689,75.439,,,ADC2_In_N[7],IN,N,ADC2_In_P[7],LVDS_25,,,,,,,,,,,,,
14,L20,IOB_X0Y133,IO_L8N_T1_D12_14,71.748,72.469,,,ADC2_In_N[6],IN,N,ADC2_In_P[6],LVDS_25,,,,,,,,,,,,,
14,P21,IOB_X0Y121,IO_L14N_T2_SRCC_14,52.748,53.278,,,ADC2_In_N[5],IN,N,ADC2_In_P[5],LVDS_25,,,,,,,,,,,,,
14,N22,IOB_X0Y123,IO_L13N_T2_MRCC_14,61.255,61.870,,,ADC2_In_N[4],IN,N,ADC2_In_P[4],LVDS_25,,,,,,,,,,,,,
14,N19,IOB_X0Y117,IO_L16N_T2_A15_D31_14,42.865,43.296,,,ADC2_In_N[3],IN,N,ADC2_In_P[3],LVDS_25,,,,,,,,,,,,,
14,N24,IOB_X0Y119,IO_L15N_T2_DQS_DOUT_CSO_B_14,77.399,78.177,,,ADC2_In_N[2],IN,N,ADC2_In_P[2],LVDS_25,,,,,,,,,,,,,
14,P24,IOB_X0Y115,IO_L17N_T2_A13_D29_14,79.067,79.862,,,ADC2_In_N[1],IN,N,ADC2_In_P[1],LVDS_25,,,,,,,,,,,,,
14,M22,IOB_X0Y125,IO_L12N_T1_MRCC_14,71.542,72.261,,,ADC2_In_N[0],IN,N,ADC2_In_P[0],LVDS_25,,,,,,,,,,,,,
14,R20,IOB_X0Y114,IO_L18P_T2_A12_D28_14,54.624,55.173,,,ADC2_In_P[15],IN,P,ADC2_In_N[15],LVDS_25,,,,,,,,,,,,,
15,K15,IOB_X0Y198,IO_L1P_T0_AD0P_15,69.162,69.857,,,ADC2_In_P[14],IN,P,ADC2_In_N[14],LVDS_25,,,,,,,,,,,,,
14,R16,IOB_X0Y140,IO_L5P_T0_D06_14,62.188,62.813,,,ADC2_In_P[13],IN,P,ADC2_In_N[13],LVDS_25,,,,,,,,,,,,,
14,N26,IOB_X0Y110,IO_L20P_T3_A08_D24_14,98.394,99.383,,,ADC2_In_P[12],IN,P,ADC2_In_N[12],LVDS_25,,,,,,,,,,,,,
15,K16,IOB_X0Y194,IO_L3P_T0_DQS_AD1P_15,52.329,52.855,,,ADC2_In_P[11],IN,P,ADC2_In_N[11],LVDS_25,,,,,,,,,,,,,
14,T22,IOB_X0Y104,IO_L23P_T3_A03_D19_14,76.001,76.765,,,ADC2_In_P[10],IN,P,ADC2_In_N[10],LVDS_25,,,,,,,,,,,,,
15,L17,IOB_X0Y184,IO_L8P_T1_AD10P_15,54.898,55.450,,,ADC2_In_P[9],IN,P,ADC2_In_N[9],LVDS_25,,,,,,,,,,,,,
14,T24,IOB_X0Y108,IO_L21P_T3_DQS_14,84.427,85.276,,,ADC2_In_P[8],IN,P,ADC2_In_N[8],LVDS_25,,,,,,,,,,,,,
14,T23,IOB_X0Y102,IO_L24P_T3_A01_D17_14,86.242,87.109,,,ADC2_In_P[7],IN,P,ADC2_In_N[7],LVDS_25,,,,,,,,,,,,,
14,M20,IOB_X0Y134,IO_L8P_T1_D11_14,68.992,69.685,,,ADC2_In_P[6],IN,P,ADC2_In_N[6],LVDS_25,,,,,,,,,,,,,
14,P20,IOB_X0Y122,IO_L14P_T2_SRCC_14,48.027,48.510,,,ADC2_In_P[5],IN,P,ADC2_In_N[5],LVDS_25,,,,,,,,,,,,,
14,N21,IOB_X0Y124,IO_L13P_T2_MRCC_14,60.618,61.228,,,ADC2_In_P[4],IN,P,ADC2_In_N[4],LVDS_25,,,,,,,,,,,,,
14,P19,IOB_X0Y118,IO_L16P_T2_CSI_B_14,43.083,43.516,,,ADC2_In_P[3],IN,P,ADC2_In_N[3],LVDS_25,,,,,,,,,,,,,
14,N23,IOB_X0Y120,IO_L15P_T2_DQS_RDWR_B_14,75.993,76.757,,,ADC2_In_P[2],IN,P,ADC2_In_N[2],LVDS_25,,,,,,,,,,,,,
14,P23,IOB_X0Y116,IO_L17P_T2_A14_D30_14,73.956,74.699,,,ADC2_In_P[1],IN,P,ADC2_In_N[1],LVDS_25,,,,,,,,,,,,,
14,M21,IOB_X0Y126,IO_L12P_T1_MRCC_14,71.156,71.871,,,ADC2_In_P[0],IN,P,ADC2_In_N[0],LVDS_25,,,,,,,,,,,,,
35,G4,IOB_X1Y178,IO_L11P_T1_SRCC_35,91.718,92.640,,,ADC_CLK[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,G9,IOB_X1Y187,IO_L6N_T0_VREF_35,83.831,84.673,,,ADC_MOSI[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,G1,IOB_X1Y151,IO_L24N_T3_35,118.412,119.602,,,ATU_TUNE[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
35,A2,IOB_X1Y159,IO_L20N_T3_35,146.111,147.579,,,BLINK_LED[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
34,M2,IOB_X1Y128,IO_L11P_T1_SRCC_34,90.372,91.280,,,BUF_Out_FPGA[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,NONE,,
16,A18,IOB_X0Y231,IO_L9N_T1_DQS_16,106.953,108.027,,,DAC_Out_N[15],OUT,N,DAC_Out_P[15],LVDS_25,,,,,,,,,,,NONE,,
16,B17,IOB_X0Y235,IO_L7N_T1_16,96.720,97.693,,,DAC_Out_N[14],OUT,N,DAC_Out_P[14],LVDS_25,,,,,,,,,,,NONE,,
16,D16,IOB_X0Y233,IO_L8N_T1_16,89.429,90.328,,,DAC_Out_N[13],OUT,N,DAC_Out_P[13],LVDS_25,,,,,,,,,,,NONE,,
16,F17,IOB_X0Y245,IO_L2N_T0_16,55.031,55.584,,,DAC_Out_N[12],OUT,N,DAC_Out_P[12],LVDS_25,,,,,,,,,,,NONE,,
16,A19,IOB_X0Y229,IO_L10N_T1_16,113.319,114.457,,,DAC_Out_N[11],OUT,N,DAC_Out_P[11],LVDS_25,,,,,,,,,,,NONE,,
16,A20,IOB_X0Y219,IO_L15N_T2_DQS_16,103.133,104.169,,,DAC_Out_N[10],OUT,N,DAC_Out_P[10],LVDS_25,,,,,,,,,,,NONE,,
16,F20,IOB_X0Y239,IO_L5N_T0_16,54.245,54.791,,,DAC_Out_N[9],OUT,N,DAC_Out_P[9],LVDS_25,,,,,,,,,,,NONE,,
16,D21,IOB_X0Y213,IO_L18N_T2_16,87.435,88.314,,,DAC_Out_N[8],OUT,N,DAC_Out_P[8],LVDS_25,,,,,,,,,,,NONE,,
16,B21,IOB_X0Y217,IO_L16N_T2_16,98.698,99.690,,,DAC_Out_N[7],OUT,N,DAC_Out_P[7],LVDS_25,,,,,,,,,,,NONE,,
16,C23,IOB_X0Y211,IO_L19N_T3_VREF_16,101.271,102.289,,,DAC_Out_N[6],OUT,N,DAC_Out_P[6],LVDS_25,,,,,,,,,,,NONE,,
16,A22,IOB_X0Y215,IO_L17N_T2_16,110.723,111.835,,,DAC_Out_N[5],OUT,N,DAC_Out_P[5],LVDS_25,,,,,,,,,,,NONE,,
16,D24,IOB_X0Y201,IO_L24N_T3_16,106.708,107.780,,,DAC_Out_N[4],OUT,N,DAC_Out_P[4],LVDS_25,,,,,,,,,,,NONE,,
16,B24,IOB_X0Y203,IO_L23N_T3_16,115.000,116.156,,,DAC_Out_N[3],OUT,N,DAC_Out_P[3],LVDS_25,,,,,,,,,,,NONE,,
16,A24,IOB_X0Y207,IO_L21N_T3_DQS_16,126.798,128.072,,,DAC_Out_N[2],OUT,N,DAC_Out_P[2],LVDS_25,,,,,,,,,,,NONE,,
16,A25,IOB_X0Y209,IO_L20N_T3_16,131.207,132.525,,,DAC_Out_N[1],OUT,N,DAC_Out_P[1],LVDS_25,,,,,,,,,,,NONE,,
16,B26,IOB_X0Y205,IO_L22N_T3_16,130.684,131.998,,,DAC_Out_N[0],OUT,N,DAC_Out_P[0],LVDS_25,,,,,,,,,,,NONE,,
16,A17,IOB_X0Y232,IO_L9P_T1_DQS_16,105.588,106.650,,,DAC_Out_P[15],OUT,P,DAC_Out_N[15],LVDS_25,,,,,,,,,,,NONE,,
16,C17,IOB_X0Y236,IO_L7P_T1_16,85.069,85.924,,,DAC_Out_P[14],OUT,P,DAC_Out_N[14],LVDS_25,,,,,,,,,,,NONE,,
16,E16,IOB_X0Y234,IO_L8P_T1_16,82.076,82.901,,,DAC_Out_P[13],OUT,P,DAC_Out_N[13],LVDS_25,,,,,,,,,,,NONE,,
16,G17,IOB_X0Y246,IO_L2P_T0_16,60.805,61.416,,,DAC_Out_P[12],OUT,P,DAC_Out_N[12],LVDS_25,,,,,,,,,,,NONE,,
16,B19,IOB_X0Y230,IO_L10P_T1_16,100.355,101.363,,,DAC_Out_P[11],OUT,P,DAC_Out_N[11],LVDS_25,,,,,,,,,,,NONE,,
16,B20,IOB_X0Y220,IO_L15P_T2_DQS_16,103.154,104.190,,,DAC_Out_P[10],OUT,P,DAC_Out_N[10],LVDS_25,,,,,,,,,,,NONE,,
16,G19,IOB_X0Y240,IO_L5P_T0_16,61.091,61.705,,,DAC_Out_P[9],OUT,P,DAC_Out_N[9],LVDS_25,,,,,,,,,,,NONE,,
16,E21,IOB_X0Y214,IO_L18P_T2_16,81.578,82.398,,,DAC_Out_P[8],OUT,P,DAC_Out_N[8],LVDS_25,,,,,,,,,,,NONE,,
16,C21,IOB_X0Y218,IO_L16P_T2_16,93.740,94.682,,,DAC_Out_P[7],OUT,P,DAC_Out_N[7],LVDS_25,,,,,,,,,,,NONE,,
16,C22,IOB_X0Y212,IO_L19P_T3_16,102.451,103.481,,,DAC_Out_P[6],OUT,P,DAC_Out_N[6],LVDS_25,,,,,,,,,,,NONE,,
16,B22,IOB_X0Y216,IO_L17P_T2_16,112.233,113.361,,,DAC_Out_P[5],OUT,P,DAC_Out_N[5],LVDS_25,,,,,,,,,,,NONE,,
16,D23,IOB_X0Y202,IO_L24P_T3_16,102.399,103.429,,,DAC_Out_P[4],OUT,P,DAC_Out_N[4],LVDS_25,,,,,,,,,,,NONE,,
16,C24,IOB_X0Y204,IO_L23P_T3_16,113.727,114.869,,,DAC_Out_P[3],OUT,P,DAC_Out_N[3],LVDS_25,,,,,,,,,,,NONE,,
16,A23,IOB_X0Y208,IO_L21P_T3_DQS_16,122.305,123.535,,,DAC_Out_P[2],OUT,P,DAC_Out_N[2],LVDS_25,,,,,,,,,,,NONE,,
16,B25,IOB_X0Y210,IO_L20P_T3_16,125.235,126.493,,,DAC_Out_P[1],OUT,P,DAC_Out_N[1],LVDS_25,,,,,,,,,,,NONE,,
16,C26,IOB_X0Y206,IO_L22P_T3_16,125.699,126.963,,,DAC_Out_P[0],OUT,P,DAC_Out_N[0],LVDS_25,,,,,,,,,,,NONE,,
16,H14,IOB_X0Y248,IO_L1P_T0_16,80.225,81.032,,,Dac_Atten[5],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
16,H15,IOB_X0Y247,IO_L1N_T0_16,61.332,61.948,,,Dac_Atten[4],OUT,,,LVCMOS25,12,SLOW,,,,,,,,,NONE,,
